,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,TOP_TRAFFIC_ACCIDENT_OFFENSE,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,ROAD_LOCATION,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,HUMAN_FACTOR
40056,40057,2013600599.0,201360000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/14/2013 6:00,,12/14/2013 6:05,N CENTRAL PARK BLVD / E 40TH AVE,3173487.0,1707443.0,-104.8827912,39.77411989,5.0,512.0,Stapleton,0.0,0.0,TRAFFIC SIGNAL,  ,TRAFFIC SIGNAL,RAN OFF LEFT SIDE,INTERSECTION RELATED,CURVE ON-LEVEL,DRY,DARK-UNLIGHTED,PASSENGER CAR/VAN,NORTH,SPUN OUT OF CONTROL,EXCEED SAFE/POSTED SPEED,DISTRACTED CELLPHONE,  ,  ,  ,  ,  ,  ,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,DISTRACTED
40117,40118,2013574477.0,201357000000000.0,5441,0,TRAF - ACCIDENT               ,11/28/2013 19:52,,11/28/2013 21:36,N CENTRAL PARK BLVD / I70 HWYEB,3173480.0,1708536.0,-104.88278970000002,39.77712044,5.0,512.0,Stapleton,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTH,MAKING LEFT TURN,FAILED TO YIELD ROW,DRIVER INEXPERIENCE,  ,SUV,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DRIVER INEXPERIENCE
40221,40222,2013575563.0,201358000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,11/29/2013 14:37,,11/29/2013 15:15,S FEDERAL BLVD / W DAKOTA AVE,3133612.0,1683631.0,-105.025093,39.7094098,4.0,412.0,Westwood,0.0,1.0,PEDESTRIAN-TOY MOTORIZED VEHICLE,  ,PEDESTRIAN-TOY MOTORIZED VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,  ,EAST,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,PICKUP TRUCK/UTILITY VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
40234,40235,2013576312.0,201358000000000.0,5441,0,TRAF - ACCIDENT               ,11/29/2013 22:40,,11/29/2013 22:56,I225 HWYNB / S TAMARAC ST,3170828.0,1656943.0,-104.8934503,39.63553667,3.0,324.0,Hampden South,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTH,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,NO APPARENT
40252,40253,2013589895.0,201359000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/8/2013 2:13,,12/8/2013 2:20,900 BLOCK E 46TH AVE,3147047.0,1709454.0,-104.9768124,39.78009592,1.0,112.0,Elyria Swansea,0.0,0.0,CURB,GUARD RAIL,GUARD RAIL,RAN OFF LEFT SIDE,NON INTERSECTION,CURVE ON-GRADE,ICY,DARK-LIGHTED,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DUI/DWAI/DUID
40269,40270,2013548176.0,201355000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,11/13/2013 14:19,,11/13/2013 15:55,3300 BLOCK E COLFAX AVE,3155222.0,1694845.0,-104.9480426,39.73985914,2.0,213.0,Congress Park,0.0,1.0,PARKED MV WITH OTHER VEHICLE,PEDESTRIAN-OTHER,PARKED MV WITH OTHER VEHICLE,RAN OFF RIGHT SIDE,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,WEST,GOING STRAIGHT,RECKLESS DRIVING,DUI/DWAI/DUID,  ,OTHER,WEST,PARKED,  ,  ,  ,3.0,1.0,SUV,  ,SUV,SUV,DUI/DWAI/DUID
40360,40361,2013590492.0,201359000000000.0,5441,0,TRAF - ACCIDENT               ,12/8/2013 14:18,,11:00.0,E 28TH AVE / N ELIZABETH ST,3152917.0,1701064.0,-104.9561064,39.75696949,2.0,213.0,Skyland,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,SNOWY,DAY LIGHT,PASSENGER CAR/VAN,WEST,OTHER,CARELESS DRIVING,OTHER,OTHER,SUV,EAST,PARKED,OTHER,NO APPARENT,OTHER,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER
40432,40433,2013578545.0,201358000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/1/2013 10:08,,12/1/2013 13:56,I70 HWYWB / N LOWELL BLVD,3130806.0,1710587.0,-105.03457560000001,39.78344875,1.0,111.0,Berkeley,0.0,0.0,OTHER-NONCOLLISION,  ,OTHER-NONCOLLISION,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-GRADE,DRY,DAY LIGHT,MOTORCYCLE,WEST,CHANGING LANES,FOLLOWED TOO CLOSELY,NO APPARENT,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,NO APPARENT
40455,40456,2013579737.0,201358000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/2/2013 2:56,,12/2/2013 3:10,N QUIVAS ST / N RARITAN WAY,3138673.0,1687853.0,-105.0070232,39.72092606,3.0,311.0,Baker,0.0,0.0,OTHER-NONCOLLISION,CURB,CURB,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,MOTORCYCLE,SOUTH,GOING STRAIGHT,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,AGGRESSIVE DRIVING
40586,40587,2013592159.0,201359000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/9/2013 15:37,,12/9/2013 15:37,S STEELE ST / E ELLSWORTH AVE,3154764.0,1686242.0,-104.9498564,39.71624994,3.0,311.0,Cherry Creek,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,MAKING LEFT TURN,CARELESS DRIVING,DISTRACTED-OTHER,  ,OTHER,EAST,GOING STRAIGHT,  ,  ,CROSS/ENTER AT INTERSECTION,1.0,0.0,  ,  ,OTHER,  ,DISTRACTED
40609,40610,2013551283.0,201355000000000.0,5441,0,TRAF - ACCIDENT               ,11/15/2013 8:00,,11/15/2013 8:31,I70 HWYWB / N CROWN BLVD,3185471.0,1707615.0,-104.8401531,39.77436082,5.0,521.0,Montbello,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,  ,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,FOLLOWED TOO CLOSELY,DRIVER UNFAMILIAR WITH AREA,  ,SUV,WEST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DRIVER UNFAMILIAR WITH AREA
40663,40664,2013580812.0,201358000000000.0,5441,0,TRAF - ACCIDENT               ,12/2/2013 17:50,,12/2/2013 18:14,1100 BLOCK E 9TH AVE,3148077.0,1691351.0,-104.97352109999999,39.73038391,6.0,623.0,Capitol Hill,0.0,1.0,PEDESTRIAN-TO/FROM SCHOOL,  ,PEDESTRIAN-TO/FROM SCHOOL,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,OTHER,SOUTH,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,OTHER,  ,  
40688,40689,2013592498.0,201359000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/9/2013 19:51,,12/9/2013 20:21,S QUEBEC ST / LEETSDALE DR,3167834.0,1679871.0,-104.90354609999999,39.69853383,3.0,322.0,Washington Virginia Vale,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,OTHER,EAST,OTHER,  ,  ,CROSS AGAINST SIGNAL,SUV,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,OTHER,  ,  
40819,40820,2013552227.0,201355000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,11/15/2013 18:17,,11/15/2013 21:02,N ZUNI ST / W 44TH AVE,3136080.0,1708106.0,-105.0158574,39.77656238,1.0,111.0,Sunnyside,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,WEST,MAKING LEFT TURN,FAILED TO YIELD ROW,  ,  ,MOTORCYCLE,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,  
40829,40830,2013552663.0,201355000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,11/15/2013 22:32,,11/15/2013 23:09,S UNIVERSITY BLVD / E BUCHTEL BLVD,3152144.0,1674036.0,-104.9594278,39.68278503,3.0,313.0,University,0.0,2.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,OTHER,EAST,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,OTHER,EAST,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,2.0,0.0,  ,  ,OTHER,OTHER,  
40922,40923,2013607744.0,201361000000000.0,5441,0,TRAF - ACCIDENT               ,23:00.0,,12/18/2013 15:15,E COLFAX AVE / N DOWNING ST,3148176.0,1694866.0,-104.9730966,39.74003165,6.0,623.0,Capitol Hill,0.0,0.0,CURB,  ,CURB,RAN OFF RIGHT SIDE,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,CARELESS DRIVING,DISTRACTED CELLPHONE,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DISTRACTED
40946,40947,2013623903.0,201362000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/28/2013 20:32,,12/28/2013 21:17,N SHERIDAN BLVD / I70 HWYWB,3125559.0,1710643.0,-105.0532438,39.78367479,1.0,111.0,Regis,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,CURB,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-GRADE,SNOWY,DARK-LIGHTED,PICKUP TRUCK/UTILITY VAN,NORTH,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,DUI/DWAI/DUID,  ,PASSENGER CAR/VAN,WEST,MAKING LEFT TURN,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DUI/DWAI/DUID
40959,40960,2013624067.0,201362000000000.0,5420,0,TRAF - ACCIDENT - DUI/DUID    ,12/28/2013 22:03,,12/28/2013 22:03,N KEARNEY ST / E SMITH RD,3163700.0,1707269.0,-104.91761310000001,39.77381962,2.0,221.0,Northeast Park Hill,0.0,0.0,HIGHWAY BARRIER,  ,HIGHWAY BARRIER,RAN OFF 'T' INTERSECTION,AT INTERSECTION,STRAIGHT ON-LEVEL,SNOWY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DUI/DWAI/DUID
40967,40968,20138043909.0,2013800000000000.0,5441,0,TRAF - ACCIDENT               ,12/21/2013 9:45,,12/21/2013 9:45,E 78TH AVE / N CALAWBA ST,,,,,,,,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,DRIVEWAY ACCESS RELATED,STRAIGHT ON-GRADE,WET,DAY LIGHT,PASSENGER CAR/VAN,NORTH,MAKING LEFT TURN,FAILED TO YIELD ROW,DRIVER UNFAMILIAR WITH AREA,  ,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DRIVER UNFAMILIAR WITH AREA
40997,40998,201394185.0,20139400000000.0,5441,1,TRAF - ACCIDENT - SBI         ,2/27/2013 10:17,,2/27/2013 10:17,E COLFAX AVE / N ELIZABETH ST,3152907.0,1694951.0,-104.95627209999999,39.74018846,2.0,213.0,Congress Park,0.0,1.0,PEDESTRIAN-TO/FROM SCHOOL,  ,PEDESTRIAN-TO/FROM SCHOOL,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,NO APPARENT,  ,  ,  ,  ,  ,  ,CROSS/ENTER AT INTERSECTION,1.0,0.0,  ,  ,PEDESTRIAN,  ,NO APPARENT
41041,41042,2013609373.0,201361000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/19/2013 12:04,,12/19/2013 12:36,S SHERIDAN BLVD / W LOUISIANA AVE,3125735.0,1677677.0,-105.05319440000001,39.69317442,4.0,421.0,Mar Lee,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,DUI/DWAI/DUID,  ,PICKUP TRUCK/UTILITY VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PICKUP TRUCK/UTILITY VAN,DUI/DWAI/DUID
41091,41092,20139504067.0,2013950000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,6/17/2013 10:14,,41:00.0,1100 N UMATILLA ST,3137182.0,1692549.0,-105.012234,39.7338396,1.0,123.0,Lincoln Park,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON PRIVATE PROPERTY,PARKING LOT,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN WITH TRAILIER,NORTH,GOING STRAIGHT,CARELESS DRIVING,NO APPARENT,  ,OTHER,  ,  ,  ,  ,OTHER,1.0,0.0,  ,  ,OTHER,  ,NO APPARENT
41130,41131,2013609594.0,201361000000000.0,5441,0,TRAF - ACCIDENT               ,12/19/2013 14:34,,12/19/2013 14:34,E EVANS AVE / S UNIVERSITY BLVD,3152163.0,1672448.0,-104.95939380000002,39.67842529,3.0,313.0,University,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,OTHER,SUV,WEST,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,NO APPARENT
41201,41202,201347272.0,20134700000000.0,5441,1,TRAF - ACCIDENT - SBI         ,54:00.0,,54:00.0,12300 BLOCK E ALBROOK DR,3184295.0,1710261.0,-104.8442689,39.78164777,5.0,521.0,Montbello,0.0,0.0,PEDESTRIAN-TOY MOTORIZED VEHICLE,  ,PEDESTRIAN-TOY MOTORIZED VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,CARELESS DRIVING,AGGRESSIVE DRIVING,OTHER,OTHER,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,CROSS/ENTER AT INTERSECTION,1.0,0.0,  ,  ,OTHER,  ,AGGRESSIVE DRIVING
41213,41214,201383276.0,20138300000000.0,5441,0,TRAF - ACCIDENT               ,2/20/2013 7:42,,2/20/2013 7:42,4800 BLOCK E FLORIDA AVE,3160098.0,1676449.0,-104.931114,39.68927593,3.0,322.0,Virginia Village,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,WEST,GOING STRAIGHT,FOLLOWED TOO CLOSELY,DISTRACTED-OTHER,  ,PASSENGER CAR/VAN,WEST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DISTRACTED
41232,41233,2013610294.0,201361000000000.0,5420,0,TRAF - ACCIDENT - DUI/DUID    ,12/19/2013 21:45,,38:00.0,E ELLSWORTH AVE / N CORONA ST,3147807.0,1686304.0,-104.9745848,39.71653320000001,3.0,311.0,Speer,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PICKUP TRUCK/UTILITY VAN,WEST,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,PICKUP TRUCK/UTILITY VAN,  ,PARKED,  ,  ,  ,1.0,0.0,  ,  ,PICKUP TRUCK/UTILITY VAN,  ,DUI/DWAI/DUID
41248,41249,2013611166.0,201361000000000.0,5441,0,TRAF - ACCIDENT               ,12/20/2013 11:22,,12/20/2013 12:50,N FEDERAL BLVD / W 44TH AVE,3133447.0,1708121.0,-105.0252246,39.7766417,1.0,111.0,Berkeley,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,MAKING LEFT TURN,FAILED TO YIELD ROW,OTHER,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER
41263,41264,2013625982.0,201363000000000.0,5441,0,TRAF - ACCIDENT               ,12/30/2013 6:50,,12/30/2013 8:08,W 32ND AVE / N LOWELL BLVD,3130836.0,1702824.0,-105.03461029999998,39.76213769,1.0,113.0,West Highland,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,ICY,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,OTHER,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER
41312,41313,201388493.0,20138800000000.0,5441,0,TRAF - ACCIDENT               ,2/23/2013 12:13,,2/23/2013 12:14,S SHERIDAN BLVD / W DARTMOUTH AVE,3125795.0,1664195.0,-105.0532168,39.65616209,4.0,423.0,Bear Valley,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,NO APPARENT
41344,41345,2013611618.0,201361000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/20/2013 16:47,,12/20/2013 16:47,E 17TH AVE / N MONACO ST,3165119.0,1696323.0,-104.9128166,39.74374616,2.0,222.0,South Park Hill,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,  ,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,  ,  ,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,  
41367,41368,2013626848.0,201363000000000.0,5441,0,TRAF - ACCIDENT               ,12/30/2013 16:20,,12/30/2013 16:50,S TENNYSON ST / W IOWA AVE,3128259.0,1675883.0,-105.0442574,39.68821504,4.0,421.0,Mar Lee,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,CARELESS DRIVING,DRIVER FATIGUE,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DRIVER FATIGUE
41434,41435,2013611846.0,201361000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/20/2013 18:49,,12/20/2013 19:30,S FEDERAL BLVD / W FLORIDA AVE,3133659.0,1676373.0,-105.0250608,39.68948427,4.0,421.0,Mar Lee,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,SUV,NORTHWEST,MAKING LEFT TURN,FAILED TO YIELD ROW,DRIVER INEXPERIENCE,  ,SUV,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,DRIVER INEXPERIENCE
41501,41502,201335448.0,20133500000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,55:00.0,,1/22/2013 17:56,5300 BLOCK W EVANS AVE,3125180.0,1672543.0,-105.0552559,39.67908781,4.0,421.0,Harvey Park,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,  ,NORTH,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,1.0,PEDESTRIAN,  ,  ,  ,  
41588,41589,20139516.0,2013950000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/6/2013 21:01,,1/6/2013 21:49,E HAMPDEN AVE / S IVANHOE ST,3162821.0,1663286.0,-104.9217362,39.65309318,3.0,324.0,Southmoor Park,0.0,0.0,CURB,LIGHT/UTILITY POLE,LIGHT/UTILITY POLE,RAN OFF RIGHT SIDE,NON INTERSECTION,STRAIGHT ON-GRADE,ICY,DARK-LIGHTED,SUV,EAST,GOING STRAIGHT,CARELESS DRIVING,NO APPARENT,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,SUV,  ,NO APPARENT
41638,41639,2013614072.0,201361000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/22/2013 1:30,,12/22/2013 1:34,E HAMPDEN AVE / S VERBENA ST,3171230.0,1663339.0,-104.8918709,39.65308794,3.0,324.0,Hampden South,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,ICY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,MAKING LEFT TURN,CARELESS DRIVING,NO APPARENT,  ,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,DUI/DWAI/DUID,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,NO APPARENT
41645,41646,2013614143.0,201361000000000.0,5441,0,TRAF - ACCIDENT               ,12/22/2013 1:30,,12/22/2013 1:35,E HAMPDEN AVE / S VERBENA ST,3171230.0,1663339.0,-104.8918709,39.65308794,3.0,324.0,Hampden South,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,ICY,DARK-LIGHTED,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,OTHER,OTHER,PASSENGER CAR/VAN,OTHER,OTHER,OTHER,NO APPARENT,OTHER,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER
