,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,TOP_TRAFFIC_ACCIDENT_OFFENSE,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,ROAD_LOCATION,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,HUMAN_FACTOR,INJURY
171927,171928,2019406164.0,201941000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,6/29/2019 16:19,,57:00.0,W 6TH AVE FRONTAGE ROAD / N TENNYSON ST,3128272.0,1689474.0,-105.0439688,39.72552518,4.0,411.0,Barnum West,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,MOTORCYCLE,NORTH,MAKING U-TURN,CARELESS DRIVING,OTHER,  ,HIT AND RUN UNKNOWN,EAST,GOING STRAIGHT,  ,  ,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,OTHER,1
177238,177239,2019686679.0,201969000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,10/27/2019 0:34,,10/27/2019 1:08,E HAMPDEN AVE / S LOCUST ST,3164620.0,1663295.0,-104.9153469,39.65308628,3.0,324.0,Hampden South,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,OTHER,SOUTH,OTHER,FAILED TO YIELD ROW,OTHER,CROSS AGAINST SIGNAL,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,OTHER,  ,OTHER,1
10168,10169,2018856501.0,201886000000000.0,5441,0,TRAF - ACCIDENT               ,12/20/2018 11:50,,12/20/2018 12:10,N CHAMBERS RD / E ANDREWS DR,3193973.0,1707928.0,-104.80989840000001,39.77504663,5.0,521.0,Montbello,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,FOLLOWED TOO CLOSELY,OTHER,  ,PASSENGER CAR/VAN,SOUTH,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER,1
65087,65088,20149506352.0,2014950000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,4/1/2014 7:16,4/1/2014 9:00,4/1/2014 9:13,E 13TH AVE / N LAFAYETTE ST,3148859.0,1693718.0,-104.97069180000001,39.73686928,6.0,622.0,Cheesman Park,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,PARKED MV WITH OTHER VEHICLE,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,RECKLESS DRIVING,EVADING LAW ENFORCEMENT OFFICER,  ,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,EVADING LAW ENFORCEMENT OFFICER,1
82360,82361,2015474966.0,201547000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,8/19/2015 14:02,,8/19/2015 14:02,E 45TH AVE / N KINGSTON ST,3180163.0,1709159.0,-104.8589979,39.77870361,5.0,511.0,Montbello,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,TREE,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,DRIVEWAY ACCESS RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,FAILED TO YIELD ROW,NO APPARENT,  ,SUV,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,OTHER,1
87558,87559,2015706715.0,201571000000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,12/4/2015 23:18,,12/5/2015 0:10,S FEDERAL BLVD / W EXPOSITION AVE,3133625.0,1681641.0,-105.0250838,39.70394663,4.0,412.0,Westwood,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,MAKING LEFT TURN,  ,DRIVER INEXPERIENCE,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,  ,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DRIVER INEXPERIENCE,1
87559,87560,2015723419.0,201572000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/13/2015 1:52,,12/13/2015 1:52,I25 HWYSB / W 6TH AVE,3136882.0,1689517.0,-105.0133584,39.72552059,1.0,311.0,Baker,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,WET,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,PICKUP TRUCK/UTILITY VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,DUI/DWAI/DUID,1
4685,4686,2018520546.0,201852000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,8/1/2018 7:03,,8/1/2018 8:31,N TOWER RD / E PENA BLVD,3204502.0,1729536.0,-104.77182459999999,39.83413656,7.0,522.0,DIA,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,MOTORCYCLE,SOUTH,GOING STRAIGHT,FOLLOWED TOO CLOSELY,DISTRACTED-OTHER,  ,SUV,SOUTH,SLOWING,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,DISTRACTED,1
177250,177251,2019531973.0,201953000000000.0,5441,0,TRAF - ACCIDENT               ,8/21/2019 16:45,,8/21/2019 16:45,W 1ST AVE / N KNOX CT,3131519.0,1686805.0,-105.03247409999999,39.71815291,4.0,411.0,Barnum,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,MOTORCYCLE,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,OTHER,1
51157,51158,2014240265.0,201424000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,38:00.0,,38:00.0,N CHAMBERS RD / E ANDREWS DR,3193973.0,1707928.0,-104.80989840000001,39.77504663,5.0,521.0,Montbello,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,CURB,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,WET,DARK-LIGHTED,PASSENGER CAR/VAN,EAST,OTHER,FAILED TO YIELD ROW,NO APPARENT,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,OTHER,1
154307,154308,2019817191.0,201982000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/29/2019 18:29,,12/29/2019 19:02,1600 BLOCK W EVANS AVE,3138949.0,1672327.0,-105.00634199999999,39.67829961,4.0,422.0,College View - South Platte,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,WET,DARK-LIGHTED,  ,SOUTH,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,OTHER,1
118383,118384,2016558845.0,201656000000000.0,5441,0,TRAF - ACCIDENT               ,10:00.0,,9/1/2016 9:22,I25 HWYNB / E HAMPDEN AVE,3163800.0,1663287.0,-104.91825929999999,39.65307877,3.0,324.0,Hampden South,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,  ,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,OTHER,  ,PASSENGER CAR/VAN,NORTH,SLOWING,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER,1
127380,127381,2017346607.0,201735000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,5/28/2017 15:00,,5/28/2017 15:58,6300 BLOCK W YALE AVE,3122076.0,1668381.0,-105.0663544,39.66770325,4.0,423.0,Bear Valley,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTHEAST,MAKING RIGHT TURN,FAILED TO YIELD ROW,AGGRESSIVE DRIVING,  ,BICYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,AGGRESSIVE DRIVING,1
171993,171994,2019670504.0,201967000000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,10/19/2019 19:40,,10/19/2019 19:48,32ND ST / WALNUT ST,3146473.0,1703888.0,-104.9789682,39.76482549,2.0,211.0,Five Points,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,OTHER,EAST,DROVE WRONG WAY,IMPROPER TURN,ILLNESS/MEDICAL,  ,HIT AND RUN UNKNOWN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,OTHER,  ,ILLNESS/MEDICAL,1
172096,172097,2019699341.0,201970000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,11/2/2019 16:32,,11/2/2019 16:32,3500 BLOCK W EXPOSITION AVE,3131273.0,1681631.0,-105.03344309999999,39.70395263,4.0,412.0,Westwood,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,  ,SOUTH,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,SUV,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,OTHER,1
64919,64920,201496875.0,20149700000000.0,5441,0,TRAF - ACCIDENT               ,2/24/2014 12:48,,2/24/2014 12:48,N STEELE ST / E 40TH AVE,3154648.0,1706879.0,-104.9498245,39.77290392,2.0,212.0,Clayton,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,DRIVEWAY ACCESS RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,MAKING LEFT TURN,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,AGGRESSIVE DRIVING,1
177025,177026,2020151839.0,202015000000000.0,5441,0,TRAF - ACCIDENT               ,3/9/2020 18:23,,3/9/2020 19:14,S SHERIDAN BLVD / W JEWELL AVE,3125752.0,1673711.0,-105.0532033,39.68228656,4.0,421.0,Harvey Park,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,FOLLOWED TOO CLOSELY,DISTRACTED-OTHER,  ,PICKUP TRUCK/UTILITY VAN,NORTH,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PICKUP TRUCK/UTILITY VAN,  ,DISTRACTED,1
118550,118551,2016659959.0,201666000000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,10/14/2016 23:25,,10/14/2016 23:38,1800 BLOCK W MISSISSIPPI AVE,3138154.0,1679011.0,-105.00903810000001,39.69666059,4.0,422.0,Ruby Hill,0.0,0.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,  ,  ,  ,IMPEDED TRAFFIC,  ,CROSS/ENTER NOT AT INTERSECTION,SUV,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,OTHER,1
32214,32215,2013257483.0,201326000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,6/7/2013 21:36,,6/7/2013 23:25,4000 BLOCK N SHOSHONE ST,3137934.0,1706405.0,-105.00929409999999,39.77186557,1.0,111.0,Sunnyside,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,HIT AND RUN UNKNOWN,NORTH,GOING STRAIGHT,  ,  ,  ,  ,  ,  ,  ,  ,STANDING IN ROADWAY,1.0,0.0,  ,  ,PEDESTRIAN,  ,OTHER,1
64924,64925,201451974.0,20145200000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/30/2014 15:02,,1/30/2014 15:23,400 BLOCK N CLERMONT ST,3159164.0,1688855.0,-104.9341582,39.72334894,3.0,321.0,Hilltop,0.0,1.0,PEDESTRIAN-TO/FROM SCHOOL,  ,PEDESTRIAN-TO/FROM SCHOOL,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,OTHER,EAST,OTHER,OTHER,NO APPARENT,CROSS/ENTER NOT AT INTERSECTION,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,1.0,0.0,  ,  ,OTHER,  ,OTHER,1
101363,101364,2016330220.0,201633000000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,40:00.0,,5/27/2016 4:40,I25 HWYSB / E HAMPDEN AVE,3163746.0,1663287.0,-104.9184511,39.65307972,3.0,324.0,Southmoor Park,0.0,0.0,HIGHWAY BARRIER,  ,HIGHWAY BARRIER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,WET,DARK-LIGHTED,PICKUP TRUCK/UTILITY VAN,SOUTH,GOING STRAIGHT,EXCEED SAFE/POSTED SPEED,AGGRESSIVE DRIVING,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PICKUP TRUCK/UTILITY VAN,  ,AGGRESSIVE DRIVING,1
82503,82504,2015506962.0,201551000000000.0,5441,0,TRAF - ACCIDENT               ,9/2/2015 14:02,,9/2/2015 14:02,4300 BLOCK N PEORIA ST,3183559.0,1708288.0,-104.846938,39.77624621,5.0,521.0,Montbello,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,SLOWING,FOLLOWED TOO CLOSELY,NO APPARENT,  ,PASSENGER CAR/VAN,SOUTH,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,OTHER,1
107217,107218,2016476370.0,201648000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,25:00.0,,7/28/2016 7:48,E 23RD AVE / N COLORADO BLVD,3157284.0,1698929.0,-104.940621,39.75103578,2.0,213.0,City Park,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,MAKING LEFT TURN,OTHER,NO APPARENT,  ,VEHICLE OVER 10000 LBS,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,  ,  ,OTHER,1
64931,64932,201463410.0,20146300000000.0,5441,0,TRAF - ACCIDENT               ,2/6/2014 10:03,,2/6/2014 11:34,W COLFAX AVE / NB I25 TO AURARIA RAMP,3136745.0,1694908.0,-105.0137428,39.74032193,1.0,123.0,Lincoln Park,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,GUARD RAIL,HIGHWAY BARRIER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,ICY,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,CARELESS DRIVING,OTHER,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER,1
161806,161807,2020469343.0,202047000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,8/3/2020 19:45,,8/3/2020 19:50,3300 S TAMARAC DR,3169783.0,1664316.0,-104.89698680000001,39.65579653,3.0,323.0,Hampden,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON PRIVATE PROPERTY,PARKING LOT,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,  ,SOUTH,  ,  ,  ,OTHER,SUV,SOUTH,ENTERING/LEAVING PARKED POSITION,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,OTHER,1
32220,32221,2013257782.0,201326000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,6/8/2013 1:17,,6/8/2013 1:17,S LOWELL BLVD / W OHIO AVE,3130995.0,1681006.0,-105.03444250000001,39.70224078,4.0,412.0,Westwood,0.0,1.0,CURB,WALL OR BUILDING,WALL OR BUILDING,ON PRIVATE PROPERTY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,SUV,SOUTH,MAKING LEFT TURN,CARELESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,2.0,0.0,  ,  ,SUV,PEDESTRIAN,DUI/DWAI/DUID,1
87360,87361,2015663312.0,201566000000000.0,5441,0,TRAF - ACCIDENT               ,10:00.0,,11/12/2015 17:20,N TOWER RD / E 45TH AVE,3204595.0,1709085.0,-104.7720769,39.77799515,5.0,522.0,Gateway - Green Valley Ranch,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,SUV,SOUTHEAST,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,SUV,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,OTHER,1
10022,10023,2018837483.0,201884000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/11/2018 22:45,,12/11/2018 23:47,E HAMPDEN AVE / S DAHLIA ST,3160017.0,1663250.0,-104.93169520000001,39.65304293,3.0,324.0,Southmoor Park,0.0,0.0,CURB,SIDE TO SIDE OPPOSITE DIRECTION WITH MV IN TRANSPORT,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,EAST,DROVE WRONG WAY,RECKLESS DRIVING,DUI/DWAI/DUID,  ,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,SUV,DUI/DWAI/DUID,1
37929,37930,2013544878.0,201354000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,11/11/2013 16:21,11/11/2013 16:22,11/11/2013 17:44,1100 BLOCK N PENNSYLVANIA ST,3145975.0,1692811.0,-104.98096480000001,39.73442508,6.0,623.0,Capitol Hill,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,DRIVEWAY ACCESS RELATED,STRAIGHT ON-GRADE,DRY,DAY LIGHT,SUV,EAST,GOING STRAIGHT,CARELESS DRIVING,OTHER,  ,MOTORCYCLE,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,OTHER,1
122173,122174,201738911.0,20173900000000.0,5441,0,TRAF - ACCIDENT               ,1/18/2017 16:52,,1/18/2017 17:24,14TH ST / CALIFORNIA ST,3142122.0,1696035.0,-104.9946006,39.74333518,6.0,611.0,CBD,1.0,1.0,OTHER OBJECT,  ,OTHER OBJECT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,EAST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,DISTRACTED-OTHER,  ,OTHER,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,1.0,0.0,  ,  ,OTHER,  ,DISTRACTED,1
42594,42595,2013334026.0,201333000000000.0,5441,0,TRAF - ACCIDENT               ,7/18/2013 23:45,,7/18/2013 23:45,I70 HWYEB / N HAVANA ST,3178275.0,1708023.0,-104.8657432,39.77562153,5.0,512.0,Stapleton,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,  ,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,MOTORCYCLE,EAST,GOING STRAIGHT,CARELESS DRIVING,DISTRACTED-OTHER,  ,VEHICLE OVER 10000 LBS,EAST,OTHER,IMPROPER BACKING,NO APPARENT,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,DISTRACTED,1
10028,10029,2018838012.0,201884000000000.0,5441,0,TRAF - ACCIDENT               ,12/12/2018 7:59,,12/12/2018 9:10,E 29TH AVE / N VINE ST,3151198.0,1701513.0,-104.96221090000002,39.75823016,2.0,211.0,Whittier,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,FAILED TO YIELD ROW,NO APPARENT,  ,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER,1
55771,55772,2014398036.0,201440000000000.0,5441,0,TRAF - ACCIDENT               ,7/31/2014 15:50,,7/31/2014 15:52,S JASON ST / W TENNESSEE AVE,3140929.0,1680041.0,-104.9991565,39.69944659,4.0,412.0,Athmar Park,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,DRIVEWAY ACCESS RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,NORTHEAST,MAKING LEFT TURN,FAILED TO YIELD ROW,AGGRESSIVE DRIVING,OTHER,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,AGGRESSIVE DRIVING,1
150355,150356,2018158110.0,201816000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,3/8/2018 5:50,,3/8/2018 5:50,N COLORADO BLVD / E 12TH AVE,3157308.0,1693121.0,-104.94066289999999,39.73509144,2.0,213.0,Congress Park,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTH,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER,1
101356,101357,2016313157.0,201631000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,5/19/2016 20:34,,5/19/2016 21:12,800 BLOCK E 13TH AVE,3147076.0,1693682.0,-104.97703229999999,39.736798799999995,6.0,623.0,Capitol Hill,0.0,0.0,OTHER OBJECT,  ,OTHER OBJECT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,MOTORCYCLE,WEST,GOING STRAIGHT,OTHER,OTHER,  ,  ,  ,  ,  ,  ,  ,0.0,1.0,MOTORCYCLE,  ,  ,  ,OTHER,1
177056,177057,202084601.0,20208500000000.0,5441,1,TRAF - ACCIDENT - SBI         ,08:00.0,,2/7/2020 21:55,PARK AVEW / COURT PL,3146161.0,1698117.0,-104.98019550000001,39.74898807,6.0,621.0,Five Points,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,WALL OR BUILDING,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,SNOWY,DARK-LIGHTED,SUV,SOUTH,GOING STRAIGHT,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,AGGRESSIVE DRIVING,1
